time;PV relative;PV absolute (10kWp);H0-A_qload;H0-A_pload;H0-B_qload;H0-B_pload
01.06.2016 00:00;0;0;0.056858;0.172753;0.035437;0.306723
01.06.2016 00:15;0;0;0.074627;0.15309;0.053156;0.387955
01.06.2016 00:30;0;0;0.017768;0.108146;-0.024806;0.331933
01.06.2016 00:45;0;0;0.031983;0.126404;-0.014175;0.112045
01.06.2016 01:00;0;0;0;0.08427;-0.007087;0.105042
01.06.2016 01:15;0;0;0.035537;0.044944;0.003544;0.130252
01.06.2016 01:30;0;0;0.031983;0.033708;-0.003544;0.10084
01.06.2016 01:45;0;0;0.007107;0.032303;0.035437;0.093838
01.06.2016 02:00;0;0;0;0.036517;0.088593;0.077031
01.06.2016 02:15;0;0;0.049751;0.044944;0.085049;0.081232
01.06.2016 02:30;0;0;0.053305;0.046348;0.02835;0.079832
01.06.2016 02:45;0;0;0.007107;0.033708;-0.024806;0.046218
01.06.2016 03:00;0;0;0.014215;0.046348;0.024806;0.021008
01.06.2016 03:15;0;0;0.031983;0.047753;-0.007087;0.018207
01.06.2016 03:30;0;0;0.010661;0.032303;-0.007087;0.018207
01.06.2016 03:45;0;0;-0.007107;0.033708;0.017719;0.043417
01.06.2016 04:00;0;0;-0.007107;0.029494;0.021262;0.039216
01.06.2016 04:15;0;0;0.007107;0.029494;0.031893;0.029412
01.06.2016 04:30;0;0;0.046198;0.037921;-0.021262;0.019608
01.06.2016 04:45;0;0;-0.003554;0.02809;0.017719;0.016807
01.06.2016 05:00;0;0;-0.024876;0.021067;0.003544;0.02381
01.06.2016 05:15;0;0;-0.003554;0.022472;0.007087;0.02381
01.06.2016 05:30;0;0;-0.014215;0.023876;0.003544;0.032213
01.06.2016 05:45;0;0;-0.003554;0.02809;0.003544;0.019608
01.06.2016 06:00;0;0;-0.021322;0.029494;0.038981;0.022409
01.06.2016 06:15;0.0135031;0.135031;-0.010661;0.025281;0.007087;0.026611
01.06.2016 06:30;0.0270061;0.270061;0.003554;0.025281;-0.017719;0.039216
01.06.2016 06:45;0.0405092;0.405092;0.014215;0.021067;0.017719;0.040616
01.06.2016 07:00;0.0540123;0.540123;0.014215;0.064607;0.02835;0.042017
01.06.2016 07:15;0.0674585;0.674585;-0.014215;0.286517;0.010631;0.032213
01.06.2016 07:30;0.0809047;0.809047;0.007107;0.16573;-0.014175;0.035014
01.06.2016 07:45;0.0943509;0.943509;-0.010661;0.091292;0.017719;0.051821
01.06.2016 08:00;0.107797;1.07797;-0.028429;0.110955;0.063787;0.061625
01.06.2016 08:15;0.111402;1.11402;0.067519;0.160112;0.024806;0.393557
01.06.2016 08:30;0.115007;1.15007;0.110163;0.092697;0.102767;0.065826
01.06.2016 08:45;0.118611;1.18611;-0.014215;0.092697;-0.003544;0.039216
01.06.2016 09:00;0.122216;1.22216;0.017768;0.088483;0.024806;0.051821
01.06.2016 09:15;0.212532;2.12532;0.042644;0.09691;0.074418;0.04902
01.06.2016 09:30;0.302849;3.02849;0.028429;0.08427;0.017719;0.04902
01.06.2016 09:45;0.393165;3.93165;0.003554;0.070225;0.077961;0.063025
01.06.2016 10:00;0.483481;4.83481;-0.003554;0.11236;-0.010631;0.047619
01.06.2016 10:15;0.477638;4.77638;0.031983;0.103933;-0.021262;0.036415
01.06.2016 10:30;0.471794;4.71794;-0.017768;0.129213;0.049612;0.030812
01.06.2016 10:45;0.465951;4.65951;0.003554;0.230337;-0.010631;0.021008
01.06.2016 11:00;0.460108;4.60108;0.017768;0.341292;-0.010631;0.02381
01.06.2016 11:15;0.457104;4.57104;0.056858;0.264045;0.024806;0.028011
01.06.2016 11:30;0.454101;4.54101;0.081734;0.101124;0.003544;0.051821
01.06.2016 11:45;0.451097;4.51097;-0.028429;0.077247;0.152379;0.226891
01.06.2016 12:00;0.448093;4.48093;-0.014215;0.099719;-0.010631;0.180672
01.06.2016 12:15;0.439819;4.39819;0.003554;0.087079;0.049612;0.077031
01.06.2016 12:30;0.431544;4.31544;-0.010661;0.108146;0.170098;0.439776
01.06.2016 12:45;0.42327;4.2327;0.003554;0.119382;0.031893;0.323529
01.06.2016 13:00;0.414995;4.14995;0.003554;0.080056;0.085049;0.214286
01.06.2016 13:15;0.392566;3.92566;0.028429;0.175562;-0.017719;0.180672
01.06.2016 13:30;0.370138;3.70138;0.003554;0.105337;-0.010631;0.177871
01.06.2016 13:45;0.347709;3.47709;-0.028429;0.101124;0.113398;0.147059
01.06.2016 14:00;0.32528;3.2528;0.159914;0.16573;0.021262;0.201681
01.06.2016 14:15;0.32303;3.2303;0.22388;0.227528;0.024806;0.163866
01.06.2016 14:30;0.320779;3.20779;-0.017768;0.139045;0.070874;0.186275
01.06.2016 14:45;0.318528;3.18528;-0.021322;0.119382;0;0.112045
01.06.2016 15:00;0.316277;3.16277;-0.017768;0.110955;0.102767;0.060224
01.06.2016 15:15;0.294837;2.94837;-0.007107;0.085674;0.049612;0.039216
01.06.2016 15:30;0.273397;2.73397;0.017768;0.089888;0.046068;0.026611
01.06.2016 15:45;0.251956;2.51956;0;0.101124;0.031893;0.030812
01.06.2016 16:00;0.230516;2.30516;-0.007107;0.110955;0.02835;0.02521
01.06.2016 16:15;0.205643;2.05643;-0.014215;0.08427;-0.007087;0.02381
01.06.2016 16:30;0.18077;1.8077;0.010661;0.095506;-0.02835;0.029412
01.06.2016 16:45;0.155897;1.55897;0.046198;0.085674;0.014175;0.026611
01.06.2016 17:00;0.131024;1.31024;0.10661;0.125;0.046068;0.036415
01.06.2016 17:15;0.0982682;0.982682;0.142146;0.139045;-0.007087;0.043417
01.06.2016 17:30;0.0655121;0.655121;0.071073;0.094101;-0.003544;0.032213
01.06.2016 17:45;0.0327561;0.327561;0.021322;0.058989;-0.017719;0.037815
01.06.2016 18:00;0;0;0.003554;0.154494;-0.017719;0.065826
01.06.2016 18:15;0;0;-0.003554;0.08427;0.134661;0.065826
01.06.2016 18:30;0;0;0.056858;0.094101;-0.010631;0.040616
01.06.2016 18:45;0;0;0.042644;0.088483;0.003544;0.029412
01.06.2016 19:00;0;0;0.021322;0.092697;0.014175;0.046218
01.06.2016 19:15;0;0;0.067519;0.085674;0.014175;0.033613
01.06.2016 19:30;0;0;0.028429;0.078652;-0.003544;0.053221
01.06.2016 19:45;0;0;0.046198;0.098315;0.021262;0.04902
01.06.2016 20:00;0;0;0.007107;0.26264;-0.014175;0.040616
01.06.2016 20:15;0;0;0.088841;0.189607;0.014175;0.047619
01.06.2016 20:30;0;0;0.088841;0.091292;-0.035437;0.037815
01.06.2016 20:45;0;0;0.014215;0.129213;0.010631;0.058824
01.06.2016 21:00;0;0;0.035537;0.092697;0.02835;0.060224
01.06.2016 21:15;0;0;0.167022;0.120787;0.06733;0.057423
01.06.2016 21:30;0;0;0.117271;0.141854;0.053156;0.07423
01.06.2016 21:45;0;0;0.017768;0.091292;-0.02835;0.078431
01.06.2016 22:00;0;0;0.063966;0.127809;0.145292;0.117647
01.06.2016 22:15;0;0;0.067519;0.158708;0.148835;0.386555
01.06.2016 22:30;0;0;0;0.110955;0.042524;0.226891
01.06.2016 22:45;0;0;-0.010661;0.123596;0.031893;0.121849
01.06.2016 23:00;0;0;0.021322;0.102528;0.02835;0.123249
01.06.2016 23:15;0;0;-0.024876;0.136236;-0.024806;0.372549
01.06.2016 23:30;0;0;0.060412;0.207865;0.141748;0.488796
01.06.2016 23:45;0;0;0.163468;0.141854;0.099224;0.407563
02.06.2016 00:00;0;0;0.152807;0.120787;-0.017719;0.383754
02.06.2016 00:15;0;0;0.067519;0.085674;0.021262;0.327731
02.06.2016 00:30;0;0;0.007107;0.071629;-0.024806;0.470588
02.06.2016 00:45;0;0;0.024876;0.077247;0.021262;0.319328
02.06.2016 01:00;0;0;0.007107;0.070225;0.056699;0.193277
02.06.2016 01:15;0;0;0.010661;0.037921;-0.02835;0.067227
02.06.2016 01:30;0;0;0.021322;0.046348;-0.042524;0.078431
02.06.2016 01:45;0;0;-0.046198;0.029494;-0.02835;0.093838
02.06.2016 02:00;0;0;0.003554;0.033708;0.014175;0.070028
02.06.2016 02:15;0;0;0.053305;0.047753;0;0.084034
02.06.2016 02:30;0;0;0.017768;0.037921;-0.038981;0.044818
02.06.2016 02:45;0;0;0.007107;0.039326;-0.010631;0.021008
02.06.2016 03:00;0;0;0.014215;0.037921;-0.007087;0.022409
02.06.2016 03:15;0;0;-0.010661;0.036517;-0.007087;0.02521
02.06.2016 03:30;0;0;0.049751;0.043539;-0.017719;0.036415
02.06.2016 03:45;0;0;0.035537;0.037921;-0.007087;0.029412
02.06.2016 04:00;0;0;-0.007107;0.030899;-0.024806;0.028011
02.06.2016 04:15;0;0;0.007107;0.029494;0;0.02521
02.06.2016 04:30;0;0;-0.014215;0.022472;-0.010631;0.029412
02.06.2016 04:45;0;0;-0.042644;0.029494;0;0.02521
02.06.2016 05:00;0;0;-0.024876;0.032303;-0.031893;0.016807
02.06.2016 05:15;0;0;0;0.036517;-0.014175;0.015406
02.06.2016 05:30;0;0;0.021322;0.029494;0;0.02381
02.06.2016 05:45;0;0;0.024876;0.025281;0.021262;0.029412
02.06.2016 06:00;0;0;0.024876;0.039326;0.077961;0.039216
02.06.2016 06:15;0.0281321;0.281321;-0.007107;0.02809;0.007087;0.02381
02.06.2016 06:30;0.0562642;0.562642;-0.017768;0.030899;-0.010631;0.021008
02.06.2016 06:45;0.0843962;0.843962;-0.014215;0.026685;-0.014175;0.014006
02.06.2016 07:00;0.112528;1.12528;0.014215;0.077247;-0.003544;0.022409
02.06.2016 07:15;0.131172;1.31172;0.003554;0.071629;-0.031893;0.033613
02.06.2016 07:30;0.149815;1.49815;-0.010661;0.046348;0;0.109244
02.06.2016 07:45;0.168458;1.68458;0.021322;0.029494;0.060243;0.20028
02.06.2016 08:00;0.187102;1.87102;0.021322;0.047753;-0.007087;0.172269
02.06.2016 08:15;0.199743;1.99743;0.017768;0.060393;0.007087;0.098039
02.06.2016 08:30;0.212385;2.12385;0.024876;0.02809;0.007087;0.068627
02.06.2016 08:45;0.225027;2.25027;0;0.032303;0.010631;0.058824
02.06.2016 09:00;0.237668;2.37668;-0.031983;0.051966;0.021262;0.039216
02.06.2016 09:15;0.264353;2.64353;-0.028429;0.05618;0.003544;0.033613
02.06.2016 09:30;0.291039;2.91039;0.003554;0.023876;0.049612;0.037815
02.06.2016 09:45;0.317724;3.17724;0.007107;0.025281;-0.014175;0.063025
02.06.2016 10:00;0.344409;3.44409;0.017768;0.073034;0.035437;0.051821
02.06.2016 10:15;0.351979;3.51979;0.028429;0.078652;0.021262;0.028011
02.06.2016 10:30;0.35955;3.5955;0.049751;0.044944;0;0.018207
02.06.2016 10:45;0.36712;3.6712;0.046198;0.049157;0.031893;0.029412
02.06.2016 11:00;0.374691;3.74691;0.03909;0.032303;0.003544;0.02521
02.06.2016 11:15;0.368589;3.68589;0.007107;0.037921;0;0.036415
02.06.2016 11:30;0.362488;3.62488;0.003554;0.035112;-0.003544;0.026611
02.06.2016 11:45;0.356386;3.56386;0.028429;0.127809;-0.024806;0.021008
02.06.2016 12:00;0.350285;3.50285;0.081734;0.212079;0;0.026611
02.06.2016 12:15;0.388522;3.88522;0.056858;0.13764;0.014175;0.021008
02.06.2016 12:30;0.426759;4.26759;-0.003554;0.049157;0.017719;0.04902
02.06.2016 12:45;0.464995;4.64995;0.014215;0.02809;-0.007087;0.154062
02.06.2016 13:00;0.503232;5.03232;0.010661;0.025281;-0.007087;0.183473
02.06.2016 13:15;0.458839;4.58839;0.003554;0.032303;0.038981;0.201681
02.06.2016 13:30;0.414447;4.14447;-0.010661;0.037921;0.010631;0.071429
02.06.2016 13:45;0.370054;3.70054;0.024876;0.043539;0.038981;0.051821
02.06.2016 14:00;0.325662;3.25662;0.010661;0.021067;0.031893;0.056022
02.06.2016 14:15;0.308929;3.08929;0.021322;0.026685;0.031893;0.040616
02.06.2016 14:30;0.292195;2.92195;-0.017768;0.026685;0.024806;0.036415
