Quasi-Dynamische Simulation AC;Quasi-Dynamische Simulation AC;Quasi-Dynamische Simulation AC;DeMaDs;DeMaDs;DeMaDs;DeMaDs;GM Substation A HV;GM Substation A HV;GM Substation A HV;External grid;GM Substation A LV;GM Substation A LV;GM Substation A LV;Substation A;Test Bay F2;Test Bay F2;Test Bay F2;LV-001;Mock Impedance Unit F;Mock Impedance Unit F;Mock Impedance Unit F;LV-002;LB 7 8 connection point;LB 7 8 connection point;LB 7 8 connection point;LV-003;Test Bay F1;Test Bay F1;Test Bay F1;LV-004;LV-005;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;LV Feeder Pillar NO.2;3P/1P Selection Box;3P/1P Selection Box;3P/1P Selection Box;LV-014;D Connection Point No. 2;D Connection Point No. 2;D Connection Point No. 2;LV-023;Mock Impedance Unit D;Mock Impedance Unit D;Mock Impedance Unit D;LV-022;D Connection Point No. 1;D Connection Point No. 1;D Connection Point No. 1;LV-021;3P/1P Selection Box 1;3P/1P Selection Box 1;3P/1P Selection Box 1;LV-020;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV Feeder Pillar NO.1;LV-034;Test Bay B1;Test Bay B1;Test Bay B1;LV-028;LB 2 connection point;LB 2 connection point;LB 2 connection point;LV-027;PV A;PV A;PV A;Gesamtnetz;Gesamtnetz;Gesamtnetz;Gesamtnetz
"Time in s";"Number";"Load flow calculation failed.";"umin in p.u.";"umax in p.u.";"Max. Loading in %";"Loads, P in kW";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Active Power in kW";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"u, Magnitude in p.u.";"Power Flow, Active Power in kW";"Power Flow, Reactive Power in kvar";"Loading in %";"Active Power in kW";"Reactive Power in kvar";"Total Nominal Active power in kW";"umin in p.u.";"umax in p.u.";"Max. Loading in %";"Loads, P in kW"
2016.06.01 08.00.00;0,000000;0,000000;1,000000;1,030993;4,042667;0,825865;1,000000;0,311549;0,044845;0,311560;1,030954;0,017659;0,044852;0,099924;1,030952;0,017647;0,038345;0,032137;1,030951;0,017635;0,036550;0,028142;1,030951;0,493000;0,035204;0,027056;1,030993;0,808522;0,033189;0,317796;0,223179;1,030949;0,333099;0,030022;1,030904;0,333073;0,026884;0,222974;1,030837;0,333039;0,022178;0,222787;1,030770;0,333005;0,017472;0,222549;1,030703;0,332971;0,012768;0,222355;1,030636;0,332938;0,008063;0,222204;1,030597;0,332913;0,005375;0,222098;1,030552;0,332887;0,002240;0,222054;1,030519;0,332865;0,000000;0,222023;0,808533;0,000029;20,000000;1,000000;1,030993;4,042667;0,825865
2016.06.01 08.15.00;1,000000;0,000000;1,000000;1,030865;4,177406;3,628792;1,000000;3,087665;0,044530;3,087676;1,030865;2,793532;0,045869;0,980313;1,030080;2,791385;0,039869;1,862818;1,029864;2,790784;0,038216;1,862744;1,029701;3,148456;0,036977;1,862719;1,029733;0,835470;0,033143;0,238056;0,321520;1,029668;0,480511;0,030016;1,029604;0,480468;0,026890;0,321375;1,029507;0,480411;0,022202;0,321243;1,029410;0,480353;0,017514;0,321075;1,029312;0,480296;0,012827;0,320938;1,029214;0,480238;0,008141;0,320831;1,029158;0,480200;0,005464;0,320755;1,029093;0,480158;0,002341;0,320722;1,029046;0,480336;0,000110;0,320697;0,835481;-0,000020;20,000000;1,000000;1,030865;4,177406;3,628792
2016.06.01 08.30.00;2,000000;0,000000;1,000000;1,031039;4,312929;0,804699;1,000000;0,232707;0,046883;0,232718;1,030957;0,061172;0,046888;0,075360;1,030977;0,061185;0,040381;0,051390;1,030983;0,061197;0,038586;0,048879;1,030987;0,587817;0,037239;0,048237;1,031039;0,862574;0,033354;0,390415;0,186644;1,031002;0,277968;0,030197;1,030965;0,277946;0,027058;0,186399;1,030909;0,277919;0,022349;0,186176;1,030854;0,277892;0,017642;0,185891;1,030798;0,277865;0,012934;0,185657;1,030741;0,277838;0,008227;0,185477;1,030709;0,277817;0,005538;0,185350;1,030671;0,277795;0,002401;0,185297;1,030644;0,278091;0,000160;0,185260;0,862586;0,000018;20,000000;1,000000;1,031039;4,312929;0,804699
2016.06.01 08.45.00;3,000000;0,000000;1,000000;1,031147;4,447927;0,591819;1,000000;0,003555;0,044844;-0,003555;1,030964;0,297447;0,044852;0,100269;1,031051;0,297484;0,038349;0,200551;1,031075;0,297502;0,036556;0,199958;1,031093;0,611247;0,035210;0,199816;1,031147;0,889574;0,033185;0,408123;0,186821;1,031110;0,278283;0,030043;1,031073;0,278261;0,026904;0,186577;1,031017;0,278234;0,022194;0,186356;1,030961;0,278206;0,017485;0,186072;1,030905;0,278179;0,012777;0,185841;1,030849;0,278152;0,008069;0,185662;1,030817;0,278132;0,005379;0,185537;1,030779;0,278110;0,002241;0,185486;1,030752;0,278091;0,000000;0,185449;0,889585;0,000002;20,000000;1,000000;1,031147;4,447927;0,591819
2016.06.01 09.00.00;4,000000;0,000000;1,000000;1,031123;4,583097;0,680017;1,000000;0,057597;0,044837;0,057608;1,030962;0,236283;0,044842;0,080166;1,031032;0,236310;0,038338;0,160344;1,031051;0,236326;0,036543;0,159600;1,031065;0,650909;0,035197;0,159421;1,031123;0,916608;0,033185;0,434545;0,178454;1,031088;0,265632;0,030045;1,031052;0,265611;0,026905;0,178199;1,030999;0,265585;0,022195;0,177968;1,030946;0,265559;0,017486;0,177671;1,030893;0,265534;0,012778;0,177429;1,030839;0,265508;0,008070;0,177243;1,030808;0,265488;0,005380;0,177112;1,030772;0,265467;0,002241;0,177059;1,030746;0,265449;0,000000;0,177021;0,916619;-0,000000;20,000000;1,000000;1,031123;4,583097;0,680017
2016.06.01 09.15.00;5,000000;0,000000;1,000000;1,031483;7,971134;0,682890;1,000000;0,616657;0,044792;-0,616657;1,030984;0,910572;0,044886;0,303883;1,031244;0,910811;0,038430;0,607792;1,031315;0,910885;0,036648;0,607602;1,031369;1,303104;0,035312;0,607560;1,031483;1,594215;0,033321;0,868733;0,195138;1,031445;0,290939;0,030056;1,031406;0,290916;0,026914;0,194904;1,031348;0,290887;0,022202;0,194692;1,031289;0,290859;0,017491;0,194420;1,031231;0,290830;0,012780;0,194198;1,031172;0,290802;0,008069;0,194027;1,031138;0,290780;0,005378;0,193907;1,031099;0,290758;0,002238;0,193858;1,031071;0,290730;0,000000;0,193822;1,594227;0,000123;20,000000;1,000000;1,031483;7,971134;0,682890
2016.06.01 09.30.00;6,000000;0,000000;1,000000;1,031867;11,358098;0,644970;1,000000;1,331024;0,044378;-1,331024;1,031007;1,624995;0,044719;0,541842;1,031468;1,625730;0,038378;1,083723;1,031595;1,625941;0,036628;1,083620;1,031690;2,018262;0,035315;1,083600;1,031867;2,271608;0,033374;1,344799;0,169963;1,031834;0,252969;0,030099;1,031801;0,252948;0,026954;0,169695;1,031750;0,252924;0,022237;0,169452;1,031699;0,252899;0,017521;0,169140;1,031649;0,252875;0,012805;0,168886;1,031597;0,252851;0,008090;0,168690;1,031568;0,252832;0,005396;0,168553;1,031534;0,252812;0,002253;0,168497;1,031509;0,252810;0,000008;0,168458;2,271620;0,000130;20,000000;1,000000;1,031867;11,358098;0,644970
2016.06.01 09.45.00;7,000000;0,000000;1,000000;1,032203;14,744788;0,714875;1,000000;1,937144;0,043753;-1,937144;1,031026;2,231188;0,044427;0,743824;1,031658;2,232562;0,038235;1,487699;1,031832;2,232949;0,036525;1,487626;1,031963;2,737443;0,035243;1,487614;1,032203;2,948946;0,033385;1,823407;0,142122;1,032175;0,210809;0,030126;1,032148;0,210791;0,026978;0,141803;1,032106;0,210771;0,022258;0,141514;1,032064;0,210750;0,017537;0,141141;1,032022;0,210729;0,012817;0,140838;1,031979;0,210709;0,008097;0,140604;1,031955;0,210692;0,005401;0,140441;1,031926;0,210675;0,002255;0,140375;1,031906;0,210675;0,000008;0,140329;2,948958;0,000112;20,000000;1,000000;1,032203;14,744788;0,714875
2016.06.01 10.00.00;8,000000;0,000000;1,000000;1,032345;18,518283;0,718032;1,000000;2,609330;0,709914;-2,609330;1,030928;2,903463;0,708660;0,996255;1,031700;2,905919;0,714597;1,993609;1,031912;2,906606;0,716236;1,993903;1,032072;3,288076;0,717466;1,994126;1,032345;3,626391;0,752511;2,241555;0,225688;1,032300;0,337318;0,030100;1,032255;0,337291;0,026954;0,225484;1,032187;0,337256;0,022236;0,225299;1,032119;0,337222;0,017518;0,225063;1,032051;0,337188;0,012801;0,224870;1,031983;0,337154;0,008084;0,224721;1,031944;0,337129;0,005389;0,224616;1,031898;0,337102;0,002245;0,224572;1,031866;0,337080;0,000000;0,224541;3,626403;-0,752511;20,000000;1,000000;1,032345;18,518283;0,718032
